,Date,Stocks
0,2019-04-25,BVH|FLC|CII|DCM|JVC|GEX|PHR|SCR|DLG|VGI|HBC|VPB|POW|DPM|MBB|HHS|LPB|VND|AMD|CTD|SSI|TCB|CTG|ITA|ACB|HSG|VNM|TCH|PNJ|DRH|BID|OIL|HCM|HAR|OGC|HUT|APG
0,2019-04-26,BVH|FLC|CII|DCM|DXG|JVC|GEX|SCR|DLG|TPB|HBC|VPB|POW|DPM|HHS|VND|HQC|AMD|CTD|SSI|TCB|FRT|CTG|ITA|TTF|TCM|HSG|NKG|VNM|TCH|DRH|BID|OIL|HCM|HAR|OGC|HUT|APG
0,2019-05-02,BVH|FLC|CII|DCM|DXG|JVC|SCR|DLG|TPB|VIB|HBC|VPB|HHS|VND|HDC|HQC|TNG|AMD|CTD|SSI|TCB|FRT|CTG|KBC|TTF|TCM|NKG|VNM|DRH|BID|OIL|KSB|HCM|HAR|OGC|HUT|APG
0,2019-05-03,BVH|FLC|PDR|CII|DCM|DXG|JVC|SCR|DLG|QCG|TPB|VIB|HBC|VPB|SBT|HHS|VND|HDC|HQC|TNG|AMD|SSI|TCB|CTG|KBC|TTF|TCM|NKG|VNM|FIT|DRH|BID|KSB|HCM|HAR|HUT|APG
0,2019-05-06,BVH|FLC|PDR|CII|DCM|DXG|JVC|SCR|DLG|QCG|TPB|VIB|HBC|VPB|SBT|HHS|VND|HDC|HQC|TNG|AMD|SSI|TCB|CTG|KBC|TTF|NKG|VNM|FIT|DRH|BID|KSB|HCM|HAR|HUT|APG
0,2019-05-07,BVH|FLC|PDR|HAI|DCM|DXG|JVC|SCR|DLG|QCG|TPB|VIB|HBC|VPB|SBT|HHS|ROS|HDC|AMD|SSI|TCB|CTG|KBC|TTF|NKG|VNM|FIT|DRH|BID|ASM|KSB|HAR|HUT|APG
0,2019-05-08,BVH|FLC|PDR|HAI|DCM|DXG|SCR|DLG|QCG|TPB|VIB|HBC|VPB|SBT|HHS|ROS|HDC|AMD|SSI|TCB|CTG|KBC|TTF|NKG|FIT|DRH|BID|ASM|KSB|HAR|APG
0,2019-05-09,BVH|FLC|PDR|HAI|DCM|DXG|SCR|DLG|QCG|VIB|HBC|VPB|SBT|HHS|ROS|HDC|AMD|SSI|TCB|CTG|KBC|TTF|NKG|FIT|DRH|BID|ASM|KSB|HAR|APG
0,2019-05-10,BVH|FLC|PDR|HAI|DCM|DXG|SCR|DLG|QCG|VIB|VPB|SBT|HHS|LDG|ROS|HDC|AMD|SSI|TCB|CTG|KBC|TNI|NKG|FIT|DRH|BID|MST|ASM|KSB|HAR|APG
0,2019-05-13,BVH|FLC|PDR|HAI|DCM|DXG|SCR|DLG|QCG|VIB|VPB|SBT|HHS|LDG|HDB|AMD|SSI|TCB|CTG|KBC|NKG|FIT|DRH|BID|ASM|KSB|HAR
0,2019-05-14,BVH|FLC|PDR|HAI|DCM|DXG|SCR|DLG|QCG|VIB|VPB|SBT|HHS|LDG|VCB|HDB|AMD|SSI|TCB|CTG|NKG|FIT|DRH|BID|ASM|IDI|KSB|HAR|HAG
0,2019-05-15,FLC|HAI|DXG|HCD|VPB|SBT|HHS|LDG|HDB|AMD|SSI|TCB|NKG|FIT|DRH|BID|TSC|IDI|KSB|HAR|HAG
0,2019-05-16,SBT|HHS|LDG|AMD|CTD|FIT|DRH|BID|HAR
0,2019-05-17,HHS|LDG|AMD|CTD|FIT|DRH|BID|HAR|VHM
0,2019-05-20,HHS|LDG|AMD|CTD|ACB|FIT|DRH|HAR
0,2019-05-21,HHS|CTD|DIG|FIT|DRH
0,2019-05-22,HHS|CTD|DIG|FIT|DRH
0,2019-05-23,HHS|CTD|DIG
0,2019-05-24,HHS|DIG
0,2019-05-27,HHS|DIG
0,2019-05-28,NVB|HHS|DIG
0,2019-05-29,NVB|HHS|HQC|DIG|FPT
0,2019-05-30,DLG|NVB|HHS|HQC|SHB|DIG|FPT
0,2019-05-31,DLG|NVB|HHS|HQC|SHB|DIG|FPT|HCM
0,2019-06-03,DLG|NVB|HHS|HQC|SHB|DIG|FPT|HCM|HUT
0,2019-06-04,SCR|DLG|NVB|SHS|HHS|HQC|AMD|SHB|SJF|DIG|VNM|FPT|MST|VRE|HCM|HUT
0,2019-06-05,CEO|SCR|DLG|VIB|NVB|REE|SHS|GAS|BSR|PVD|VND|HQC|AMD|SHB|SJF|DIG|VNM|FPT|STB|MST|VRE|ASM|OIL|HCM|VHM|HUT
0,2019-06-06,ART|FLC|FCN|HCD|CEO|DLG|QCG|VIB|NVB|REE|HBC|VPB|SHS|GAS|BSR|PVD|LDG|LPB|VND|HQC|AMD|CTD|SSI|TCB|SHB|SJF|DIG|VNM|TCH|FPT|DRH|BID|STB|MST|VRE|ASM|OIL|HCM|NLG|VHM|HUT
