Date,Sell,Buy,BuyMore
2020-03-19,FLC|HCD|NVB|REE|AAA|ITA,TPB|SHB,DCM|GEX|DPM|AAA|PLX|SHS|TNI|SJF|TTF|OIL|HAR|HUT
2020-03-18,TNG,HAI|QCG|AMD|FIT,FLC|HCD|DLG|TPB|REE|SHB|ITA
2020-03-17,TNG,HAI|QCG|AMD,NVB|FIT|TSC
2020-03-16,VND|HQC,HAI|QCG|AMD,ART|TNG
2020-03-15,,,
2020-03-14,,,
2020-03-13,VND|HQC,QCG|AMD,KLF
2020-03-12,MSN|VND|KLF,QCG|AMD,
2020-03-11,ART|DXG|HCD|MSN|LDG|MBG|CTD|TTF|KLF|DRH|PVX|HVN,QCG|AMD,VND
2020-03-10,ART|FLC|FCN|DXG|PHR|SCR|DLG|TPB|HBC|DPM|SHS|HHS|BSR|LPB|VND|MBG|CTD|SSI|DGW|SHB|GTN|DIG|TTF|KLF|TTB|DRH|PVX|DBC|TSC|HCM|NLG|HVN|APG|HAG,QCG|MSN|AMD,
2020-03-09,TIG|ART|FLC|PDR|FCN|CII|DCM|DXG|PHR|HCD|CEO|SCR|DLG|TPB|VIB|NVB|HBC|POW|DPM|PVT|MBB|SHS|HHS|BSR|PVD|PVS|LDG|ROS|LPB|VND|HDC|HQC|TNG|VCB|HDB|CTD|SSI|DGW|SHB|CTG|KBC|GTN|ITA|TNI|SJF|DIG|TTF|ACB|TCM|HSG|TTB|BID|PVX|NVL|STB|DBC|MST|TSC|ASM|OIL|IDI|KSB|HCM|HAR|OGC|NLG|VHM|HUT|HVN|APG|HAG,QCG|MSN|MBG,
2020-03-08,,,
2020-03-07,,,
2020-03-06,TIG|FCN|CII|VIB|NVB|AAA|MBB|SHS|HHS|PVD|PVS|ROS|LPB|VND|TNG|TCB|CTG|KBC|TNI|SJF|ACB|FPT|BID|PVX|STB|DBC|MST|KSB|HAR|OGC|EIB|HUT,DXG|PHR|QCG|MSN|MBG|CTD|SHB|HCM|HVN,HCD|SCR|PVT|PVS|HDC|VCB|GTN|TCM|HSG|BID|VHM
